Código;Pilas:;Frente: ;Ni;Co;Fe;SiO2;MgO;Al2O3;Cr2O3;Mn;Cu;Zn;Na;K
M162;312;CE;1,26;0,23;47,13;3,72;1,51;6,4;;1,27;0,02;0,04;0,03;0
M163;313;CE;1,15;0,18;47,89;2,38;0,32;6,71;;1;0,02;0,04;0,03;0
M164;314;CE;1,1;0,18;47,83;2,42;0,42;6,91;;1,03;0,02;0,04;0,03;0
M165;315;CE;1,29;0,16;49,92;2,26;0,42;6,11;;0,96;0,02;0,04;0,04;0
M166;316;CE;1,25;0,19;48,7;2,27;0,42;6,2;;1,04;0,02;0,04;0,04;0,01
M167;317;CE;1,16;0,15;47,89;2,21;0,42;6,56;;0,89;0,02;0,04;0,03;0,01
M168;318;CE;1,11;0,18;48,73;2,25;0,44;6,41;;0,95;0,02;0,04;0,04;0,01
M169;319;CE;1,2;0,27;45,39;3,11;0,87;6,31;;1,37;0,02;0,05;0,03;0,01
M170;320;CE;1,1;0,28;45,59;3,44;1,12;6,57;;1,46;0,02;0,05;0,03;0
M171;321;CE;1,56;0,17;40,72;7,21;3,1;6,31;;0,96;0,02;0,04;0,02;0
M172;322;CE;1,49;0,19;41,92;5,34;2,41;6,98;;1,14;0,02;0,04;0,03;0
M173;323;CE;1,38;0,22;44,45;3,82;1,63;6,93;;1,27;0,02;0,04;0,03;0
M174;324;CE;0,94;0,32;44,97;3,03;0,73;6,61;;1,51;0,02;0,04;0,04;0
M175;325;CE;1,14;0,3;43,66;3,93;1,61;6,04;;1,56;0,02;0,05;0,05;0
M176;326;CE;1,09;0,24;45,62;3,32;1,22;6,6;;1,37;0,02;0,04;0,05;0
M177;327;CE;1,15;0,29;44,43;3,4;1,06;6,45;;1,53;0,02;0,04;0,05;0
M178;328;CE;1,25;0,25;46,43;2,84;0,54;6,92;;1,4;0,02;0,04;0,05;0
M179;329;CE;0,93;0,26;41,72;4,48;2,69;6,08;;1,44;0,02;0,04;0,04;0
M180;330;CE;0,67;0,2;27,29;14,6;11,11;3,92;;1,02;0,01;0,04;0,04;0
M181;331;CE;0,81;0,15;30,73;11,78;9,07;4,49;;0,86;0,01;0,04;0,05;0
M182;332;CE;1,02;0,18;38,53;7,89;4,33;5,47;;1,02;0,02;0,04;0,03;0
M183;333;CE;1,18;0,17;40,7;7,1;3,41;5,9;;1,04;0,02;0,04;0,04;0
M184;338;CE;1,62;0,14;36,95;9,62;3,97;6,04;;0,99;0,01;0,04;0,03;0
